ID	TRAIT	CHR	POS	P_WGS	BETA_WGS	AC_WGS	AF_WGS	N_WGS	P_WES_FE	BETA_WES_FE	TOP_EXON	N_IMP	GENOCNT_IMP	MAF_IMP	P_IMP	BETA_IMP	TYPE	DR2_IMP	AF_IMP_CALLSET	maxR2	EXON_R2_BATCH1	EXON_R2_BATCH2	exon_r2_ave	imp_r2_higher	combined_p
CNV_chr5_79079142_79089085	waist_combined	5	79079142	0.0002426	-0.6417	34	0.00844091360477	4028	0.313411	-0.00357431	5:78379450-78379680	13894	13797/95/2	0.00361	0.9254	0.01024	<DUP>	0.81	0.0036	0.902	0.41	0.396	0.403	TRUE	0.00211068416332638
CNV_chr5_79085765_79094739	waist_combined	5	79085765	0.0002426	-0.6417	34	0.00844091360477	4028	0.313411	-0.00357431	5:78379450-78379680	13894	13797/95/2	0.00361	0.9269	0.01002	<DUP>	0.81	0.0036	0.902	0.41	0.396	0.403	TRUE	0.00211374122017459
CNV_chr7_67290167_67291623	waist_combined	7	67290167	9.436e-05	0.1418	832	0.206554121152	4028	NA	NA	NA	13894	10992/2722/180	0.10901	0.1867	-0.02752	<DEL>	0.96	0.1096	0.99	NA	NA	NA	TRUE	0.000210464197694511
CNV_chr6_33059780_33060881	hip_combined	6	33059780	0.0003639	-0.1382	779	0.193396226415	4028	NA	NA	NA	13893	11271/2502/120	0.09447	0.9562	0.001657	<DEL>	0.94	0.0952	0.993	NA	NA	NA	TRUE	0.00311892207342516
CNV_chr11_85551699_85563749	hip_combined	11	85551699	0.0009918	0.2303	215	0.0533763654419	4028	NA	NA	NA	13893	13206/676/11	0.02504	0.5125	-0.02522	<DEL>	0.98	0.0251	0.987	NA	NA	NA	TRUE	0.00436345124714087
CNV_chr1_28224786_28227582	whr_combined	1	28224786	0.0007082	0.2417	206	0.0511420059583	4028	NA	NA	NA	13892	13173/707/12	0.0261	0.1087	0.0627	<DEL>	0.99	0.026	1	NA	NA	NA	TRUE	0.000806144551201484
CNV_chr2_139327361_139335329	whr_combined	2	139327361	0.0003398	0.7496	20	0.00496524329692	4028	NA	NA	NA	13892	13815/77/0	0.00287	0.4778	0.08493	<DUP>	0.89	0.003	0.879	NA	NA	NA	TRUE	0.00157903268998739
CNV_chr6_861171_866985	whr_combined	6	861171	0.0003902	-0.1736	443	0.109980139027	4028	NA	NA	NA	13892	12271/1566/55	0.0586	0.0007127	-0.08805	<DUP>	0.96	0.0586	0.973	NA	NA	NA	TRUE	4.47603145454677e-06
CNV_chr6_33059780_33060881	whr_combined	6	33059780	9.057e-05	0.1497	779	0.193396226415	4028	NA	NA	NA	13892	11270/2502/120	0.09448	0.7216	0.01084	<DEL>	0.94	0.0952	0.993	NA	NA	NA	TRUE	0.000695097651159051
CNV_chr7_146602780_146605585	whr_combined	7	146602780	0.0001666	0.157	619	0.15367428004	4028	NA	NA	NA	13892	11890/1922/80	0.07347	0.5246	-0.01497	<DEL>	0.98	0.0732	0.99	NA	NA	NA	TRUE	0.000904139009221026
CNV_chr11_4150370_4151869	whr_combined	11	4150370	0.0002557	0.649	32	0.00794438927507	4028	NA	NA	NA	13892	13850/42/0	0.00404	0.6497	-0.06919	<DEL>	0.4	0.004	0.219	NA	NA	NA	TRUE	0.0016119013051305
CNV_chr3_57598465_57613744	whr_females	3	57598465	0.0008504	-1.056	10	0.0212765957447	470	NA	NA	NA	3752	3647/105/0	0.01438	0.134	0.1622	<DUP>	0.82	0.0144	0.984	NA	NA	NA	TRUE	0.00114862029096498
CNV_chr22_37348376_37353845	whr_females	22	37348376	0.0003299	-0.4344	69	0.146808510638	470	NA	NA	NA	3752	3142/574/36	0.08696	0.2703	-0.04517	<DEL>	0.97	0.0883	0.426	NA	NA	NA	TRUE	0.000920695579269444
CNV_chr1_119995454_119998424	fatmass_combined	1	119995454	0.0001378	-0.443	77	0.0254882489242	3021	0.605211	-0.00225112	1:120539619-120539956	8326	8131/195/0	0.0121	0.1224	-0.1437	<DUP>	0.64	0.0134	0.982	0.551	0.58	0.5655	TRUE	0.000202234808235434
CNV_chr6_29793008_29795249	fatmass_combined	6	29793008	0.0007263	-0.5406	41	0.0135716650116	3021	NA	NA	NA	8326	8226/100/0	0.00621	0.5775	-0.07267	<DUP>	0.63	0.0066	0.37	NA	NA	NA	TRUE	0.0036812393297987
CNV_chr7_134527635_134554512	fatmass_combined	7	134527635	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8234/92/0	0.00524	0.6747	-0.0477	<DEL>	0.94	0.0044	1	0.178	0.133	0.1555	TRUE	0.0033129714505343
CNV_chr7_134528360_134541084	fatmass_combined	7	134528360	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8234/92/0	0.00523	0.6717	-0.04824	<DEL>	0.93	0.0044	1	0.178	0.133	0.1555	TRUE	0.00329989289882029
CNV_chr7_134528460_134536635	fatmass_combined	7	134528460	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8234/92/0	0.00523	0.6708	-0.04841	<DEL>	0.93	0.0044	1	0.178	0.133	0.1555	TRUE	0.00329596789255432
CNV_chr7_134537532_134538984	fatmass_combined	7	134537532	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8235/91/0	0.00516	0.6245	-0.05628	<DEL>	0.92	0.0044	1	0.178	0.133	0.1555	TRUE	0.00309312794553751
CNV_chr7_134541485_134543007	fatmass_combined	7	134541485	0.0005987	0.7687	20	0.0066203243959	3021	0.108022	0.0123297	7:134250215-134250316	8326	8239/87/0	0.00513	0.589	-0.06464	<DEL>	0.84	0.0044	1	0.178	0.118	0.148	TRUE	0.00315610484852741
CNV_chr7_134544641_134546462	fatmass_combined	7	134544641	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8239/87/0	0.0052	0.6255	-0.05772	<DEL>	0.85	0.0044	1	0.178	0.133	0.1555	TRUE	0.00309752847090618
CNV_chr7_134550963_134552662	fatmass_combined	7	134550963	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8239/87/0	0.00532	0.6531	-0.052	<DEL>	0.86	0.0045	1	0.178	0.133	0.1555	TRUE	0.00321863949938111
CNV_chr7_134555413_134566031	fatmass_combined	7	134555413	0.000552	0.7555	21	0.00695134061569	3021	0.108022	0.0123297	7:134250215-134250316	8326	8238/88/0	0.00532	0.6346	-0.05489	<DEL>	0.86	0.0045	1	0.178	0.133	0.1555	TRUE	0.00313753287052721
CNV_chr16_86844811_86846356	fatmass_combined	16	86844811	4.478e-05	0.1342	1039	0.343925852367	3021	NA	NA	NA	8326	5539/2525/262	0.18381	0.1502	0.03014	<DUP>	0.97	0.1816	0.988	NA	NA	NA	TRUE	8.68289743882287e-05
CNV_chr1_192745523_192750973	weight_combined	1	192745523	0.0003228	-0.8851	17	0.00421836228288	4030	NA	NA	NA	13905	13845/59/1	0.00245	0.4425	0.1011	<DUP>	0.82	0.0025	0.95	NA	NA	NA	TRUE	0.00140750585778046
CNV_chr1_192745673_192750673	weight_combined	1	192745673	0.0003228	-0.8851	17	0.00421836228288	4030	NA	NA	NA	13905	13845/59/1	0.00245	0.4425	0.1011	<DUP>	0.82	0.0025	1	NA	NA	NA	TRUE	0.00140750585778046
CNV_chr3_162794292_162803269	weight_combined	3	162794292	0.0003417	-0.1014	1474	0.365756823821	4030	NA	NA	NA	13905	8796/4528/581	0.20457	0.748	-0.004832	<DEL>	1	0.2052	0.998	NA	NA	NA	TRUE	0.00236982734707236
CNV_chr3_162826874_162878165	weight_combined	3	162826874	0.0003417	-0.1014	1474	0.365756823821	4030	NA	NA	NA	13905	8796/4528/581	0.20463	0.7394	-0.005003	<DEL>	1	0.2053	0.998	NA	NA	NA	TRUE	0.00234550233076469
CNV_chr15_24847044_24848143	weight_combined	15	24847044	0.0001064	1.033	14	0.00347394540943	4030	NA	NA	NA	13905	13888/17/0	0.00141	0.3941	-0.2005	<DEL>	0.47	0.0014	0.785	NA	NA	NA	TRUE	0.000464586390275373
CNV_chr8_16343705_16350014	ln_totalcw_combined	8	16343705	0.0003537	0.237	234	0.0798090040928	2932	NA	NA	NA	9108	8407/682/19	0.03941	0.6381	-0.01801	<DEL>	0.99	0.0398	0.994	NA	NA	NA	TRUE	0.00212071194725298
CNV_chr8_16404086_16417239	ln_totalcw_combined	8	16404086	0.0008712	0.2241	226	0.0770804911323	2932	NA	NA	NA	9108	8416/676/16	0.03886	0.8247	-0.008539	<DEL>	1	0.0392	1	NA	NA	NA	TRUE	0.00591909616511832
CNV_chr8_119772847_119774496	ln_totalcw_combined	8	119772847	0.0007333	0.3922	76	0.0259208731241	2932	NA	NA	NA	9108	8740/366/2	0.01467	0.5583	-0.04378	<DEL>	0.68	0.0157	0.718	NA	NA	NA	TRUE	0.00360306568514587
CNV_chr9_85160205_85161344	ln_totalcw_combined	9	85160205	0.0003227	-0.1145	1147	0.391200545703	2932	NA	NA	NA	9108	5448/3207/453	0.22417	0.6539	0.008162	<DEL>	0.98	0.2257	0.964	NA	NA	NA	TRUE	0.00199694517435053
CNV_chr3_32918031_32922680	systbp_combined	3	32918031	0.0008974	0.5143	42	0.0104270109235	4028	NA	NA	NA	13896	13845/51/0	0.00526	0.8834	-0.02048	<DEL>	0.35	0.0054	0.65	NA	NA	NA	TRUE	0.00645308105878927
CNV_chr5_140839712_140840811	systbp_combined	5	140839712	0.000244	-0.4513	64	0.0158887785501	4028	0.166658	0.00959218	5:140213968-140216339	13896	13733/163/0	0.00839	0.3381	0.07954	<DEL>	0.63	0.008	0.794	0.204	0.147	0.1755	TRUE	0.000858189911988752
CNV_chr9_80741873_80742879	diastbp_combined	9	80741873	0.0002019	0.417	82	0.0203574975174	4028	NA	NA	NA	13894	13818/76/0	0.01216	0.5602	-0.05651	<DEL>	0.32	0.0122	0.222	NA	NA	NA	TRUE	0.00114090643959305
CNV_chr12_98276119_98278353	diastbp_combined	12	98276119	0.0004183	-0.09906	1492	0.37040714995	4028	NA	NA	NA	13894	8765/4500/629	0.20718	0.4335	0.01155	<DEL>	1	0.207	0.993	NA	NA	NA	TRUE	0.00174354903846005
CNV_chr13_68397730_68400137	diastbp_combined	13	68397730	0.0006768	-1.072	10	0.00248262164846	4028	NA	NA	NA	13894	13863/31/0	0.00122	0.5646	0.1031	<DEL>	0.9	0.0012	0.889	NA	NA	NA	TRUE	0.00338932882591333
CNV_chr18_66099624_66102004	diastbp_combined	18	66099624	0.0001717	-0.08628	2060	0.511420059583	4028	NA	NA	NA	13894	3976/6947/2971	0.46382	0.4754	0.008616	<DEL>	1	0.4615	0.998	NA	NA	NA	TRUE	0.000850002839730198
CNV_chr21_41617257_41618883	pulsepress_combined	21	41617257	0.0009746	0.107	1050	0.260675273088	4028	NA	NA	NA	13893	10251/3354/288	0.14175	0.7135	0.006342	<DEL>	0.99	0.141	0.999	NA	NA	NA	TRUE	0.00575150312270525
CNV_chr2_214864038_214866137	eGFR_MDRD_combined	2	214864038	0.000876	-0.07596	2083	0.523103967855	3982	NA	NA	NA	12505	4234/6049/2222	0.41923	0.8342	-0.002887	<DEL>	1	0.4219	0.994	NA	NA	NA	TRUE	0.00600788309894802
CNV_chr2_214864438_214866137	eGFR_MDRD_combined	2	214864438	0.000876	-0.07596	2083	0.523103967855	3982	NA	NA	NA	12505	4234/6049/2222	0.41923	0.8345	-0.002882	<DEL>	1	0.4219	0.994	NA	NA	NA	TRUE	0.0060097808425999
CNV_chr15_99115715_99117564	eGFR_MDRD_combined	15	99115715	0.0003823	0.6718	28	0.00703164239076	3982	NA	NA	NA	12505	12460/45/0	0.0044	0.6872	0.06109	<DEL>	0.38	0.0045	0.333	NA	NA	NA	TRUE	0.002428666116519
CNV_chr4_183487127_183490314	S_krea_combined	4	183487127	6.512e-05	-0.4557	81	0.0203415369161	3982	NA	NA	NA	12505	12417/88/0	0.00735	0.7228	0.04313	<DUP>	0.38	0.0076	0.066	NA	NA	NA	TRUE	0.000516056987894491
CNV_chr7_76974822_76978623	S_krea_combined	7	76974822	0.0009441	0.3121	116	0.0291310899046	3982	NA	NA	NA	12505	12221/284/0	0.01476	0.006374	0.219	<DUP>	0.46	0.0147	0.56	NA	NA	NA	TRUE	7.83552215075031e-05
CNV_chr7_154016947_154018999	S_krea_combined	7	154016947	0.0005155	-0.2445	216	0.054244098443	3982	NA	NA	NA	12505	12286/219/0	0.02102	0.8463	-0.01451	<DUP>	0.36	0.0216	0.451	NA	NA	NA	TRUE	0.00381178154349148
CNV_chr9_86831853_86839528	S_krea_combined	9	86831853	0.0008845	0.2256	206	0.0517327975892	3982	NA	NA	NA	12505	11863/627/15	0.02629	0.5872	0.02166	<DEL>	0.98	0.0259	0.906	NA	NA	NA	TRUE	0.00444737379507496
CNV_chr15_99115715_99117564	S_krea_combined	15	99115715	0.0001744	-0.7091	28	0.00703164239076	3982	NA	NA	NA	12505	12460/45/0	0.0044	0.7305	-0.05251	<DEL>	0.38	0.0045	0.333	NA	NA	NA	TRUE	0.00126993880646329
CNV_chr4_73399922_73404147	Alb_combined	4	73399922	3.492e-21	0.9107	101	0.0322786832854	3129	NA	NA	NA	7760	7483/275/2	0.01752	3.243e-36	-0.8921	<DEL>	0.73	0.0179	0.973	NA	NA	NA	TRUE	1.47015812741309e-54
CNV_chr6_168841148_168843215	Alb_combined	6	168841148	0.0001557	-0.1743	497	0.158836689038	3129	NA	NA	NA	7760	6422/1270/68	0.08834	0.5774	0.01642	<DUP>	0.91	0.0865	0.946	NA	NA	NA	TRUE	0.000927492448053297
CNV_chr21_44198809_44200849	glu_fast_combined	21	44198809	0.0004311	-0.1023	1490	0.553080920564	2694	NA	NA	NA	6534	2924/2902/708	0.33275	0.1007	0.03252	<DEL>	0.91	0.3296	0.187	NA	NA	NA	TRUE	0.000479473447127422
CNV_chr7_38353253_38357781	ln_ins_fast_combined	7	38353253	0.0004778	0.09897	1472	0.546399406088	2694	NA	NA	NA	6529	2668/3037/824	0.35866	0.8524	-0.003465	<DEL>	1	0.3563	0.991	NA	NA	NA	TRUE	0.00358648600586336
CNV_chr7_38355594_38357781	ln_ins_fast_combined	7	38355594	0.0003232	0.1019	1470	0.54565701559	2694	NA	NA	NA	6529	2669/3037/823	0.35891	0.8187	-0.004269	<DEL>	0.99	0.3564	0.991	NA	NA	NA	TRUE	0.00244421891081335
CNV_chr9_137285051_137292259	ln_ins_fast_combined	9	137285051	0.0002084	-1.166	10	0.00371195248701	2694	NA	NA	NA	6529	6492/37/0	0.00326	0.2909	0.1759	<DEL>	0.85	0.0039	0.916	NA	NA	NA	TRUE	0.000649328460954116
CNV_chr10_29695693_29698192	ln_ins_fast_combined	10	29695693	0.0008889	-0.4715	50	0.018559762435	2694	NA	NA	NA	6529	6377/151/1	0.00979	0.7595	-0.03099	<DEL>	0.75	0.0105	0.364	NA	NA	NA	TRUE	0.00560391136008575
CNV_chr1_235373894_235374993	P_gl120_combined	1	235373894	8.363e-05	0.1807	489	0.181649331352	2692	NA	NA	NA	6526	5376/1094/56	0.09203	0.8585	-0.005523	<DEL>	0.99	0.0934	0.995	NA	NA	NA	TRUE	0.000756853973361555
CNV_chr4_145995171_146006576	P_gl120_combined	4	145995171	0.0007845	-0.2084	293	0.108841010401	2692	NA	NA	NA	6526	6304/220/2	0.04844	0.2481	0.08281	<DEL>	0.33	0.0476	0.25	NA	NA	NA	TRUE	0.00185766658714014
CNV_chr4_183946913_183949012	P_gl120_combined	4	183946913	6.742e-05	-0.94	18	0.00668647845468	2692	NA	NA	NA	6526	6495/31/0	0.004	0.1069	0.3082	<DUP>	0.49	0.004	0.055	NA	NA	NA	TRUE	9.25435236429534e-05
CNV_chr5_119620264_119626163	P_gl120_combined	5	119620264	0.0005486	0.6344	30	0.0111441307578	2692	NA	NA	NA	6526	6439/87/0	0.00678	0.1734	-0.1601	<DEL>	0.84	0.0062	0.984	NA	NA	NA	TRUE	0.000976033563399662
CNV_chr7_135024785_135028432	P_gl120_combined	7	135024785	0.0008458	0.4464	57	0.0211738484398	2692	NA	NA	NA	6526	6376/149/1	0.01191	0.7608	0.02516	<DEL>	0.98	0.0103	0.833	NA	NA	NA	TRUE	0.00537220384514907
CNV_chr7_135027308_135028807	P_gl120_combined	7	135027308	0.0006345	0.5186	44	0.0163447251114	2692	NA	NA	NA	6526	6394/132/0	0.00947	0.834	0.02075	<DEL>	0.83	0.0078	0.67	NA	NA	NA	TRUE	0.00452135737875268
CNV_chr1_235373894_235374993	ln_P_ins120_combined	1	235373894	2.176e-05	0.1949	489	0.181784386617	2690	NA	NA	NA	6513	5366/1091/56	0.09198	0.8686	-0.005108	<DEL>	0.99	0.0934	0.995	NA	NA	NA	TRUE	0.000224470994196751
CNV_chr4_183946913_183949012	ln_P_ins120_combined	4	183946913	0.0008636	-0.7865	18	0.00669144981413	2690	NA	NA	NA	6513	6482/31/0	0.004	0.5347	0.1177	<DUP>	0.49	0.004	0.055	NA	NA	NA	TRUE	0.00400834479755912
CNV_chr5_17624269_17643558	ln_P_ins120_combined	5	17624269	0.0007475	0.2814	153	0.0568773234201	2690	NA	NA	NA	6513	6142/366/5	0.03173	0.1742	-0.07632	<DEL>	0.8	0.0305	0.875	NA	NA	NA	TRUE	0.00129515605798594
CNV_chr5_17629668_17645708	ln_P_ins120_combined	5	17629668	0.0007475	0.2814	153	0.0568773234201	2690	NA	NA	NA	6513	6147/361/5	0.0311	0.1423	-0.0844	<DEL>	0.77	0.0304	0.875	NA	NA	NA	TRUE	0.00107949833516241
CNV_chr5_17641709_17643908	ln_P_ins120_combined	5	17641709	0.0007475	0.2814	153	0.0568773234201	2690	NA	NA	NA	6513	6148/360/5	0.03166	0.1306	-0.08464	<DEL>	0.8	0.0308	0.878	NA	NA	NA	TRUE	0.00099911719814771
CNV_chr10_29695693_29698192	ln_P_ins120_combined	10	29695693	5.6e-05	-0.5737	50	0.0185873605948	2690	NA	NA	NA	6513	6362/150/1	0.00974	0.9757	0.00312	<DEL>	0.75	0.0105	0.364	NA	NA	NA	TRUE	0.000590909779083892
CNV_chr11_17188209_17189908	ln_P_ins120_combined	11	17188209	0.0004482	1.058	11	0.00408921933086	2690	NA	NA	NA	6513	6491/22/0	0.00168	0.4493	0.1629	<DEL>	0.99	0.0014	1	NA	NA	NA	TRUE	0.00191515578618019
CNV_chr12_127853991_127859390	ln_P_ins120_combined	12	127853991	0.0003194	0.9053	16	0.00594795539033	2690	NA	NA	NA	6513	6494/19/0	0.00147	0.06137	-0.4368	<DEL>	0.96	0.0012	0.817	NA	NA	NA	TRUE	0.000232080732864349
CNV_chr21_45968220_45969819	ln_P_ins120_combined	21	45968220	0.0006959	0.09387	1386	0.515241635688	2690	NA	NA	NA	6513	1219/3139/2155	0.42865	0.5164	0.01191	<DEL>	1	0.5747	0.987	NA	NA	NA	TRUE	0.00320953285020426
CNV_chr1_105592506_105594747	ln_P_ffa0_combined	1	105592506	0.000246	-0.4757	61	0.0226345083488	2695	NA	NA	NA	6541	6372/169/0	0.01223	0.4617	-0.06106	<DEL>	0.93	0.0103	1	NA	NA	NA	TRUE	0.00114521114534895
CNV_chr7_20709148_20713993	ln_P_ffa0_combined	7	20709148	0.0004371	0.2247	265	0.0983302411874	2695	NA	NA	NA	6541	5907/622/12	0.04964	0.9093	0.004832	<DEL>	0.89	0.0482	1	NA	NA	NA	TRUE	0.00350969832865081
CNV_chr7_140392864_140393863	ln_P_ffa0_combined	7	140392864	0.0006571	-0.8063	18	0.00667903525046	2695	NA	NA	NA	6541	6499/42/0	0.00329	0.4238	-0.1497	<DUP>	0.64	0.0028	0.871	NA	NA	NA	TRUE	0.00255815468840166
CNV_chr19_41552090_41555709	ln_P_ffa0_combined	19	41552090	0.0001299	1.103	12	0.00445269016698	2695	NA	NA	NA	6541	6526/15/0	0.00164	0.5811	-0.1459	<DEL>	0.59	0.0017	0.657	NA	NA	NA	TRUE	0.000791955615346857
CNV_chr3_192643777_192646353	DHA_combined	3	192643777	0.0003948	-1.135	10	0.00355492356914	2813	NA	NA	NA	5940	5923/17/0	0.00142	0.9507	0.01629	<DEL>	0.81	0.0017	0.606	NA	NA	NA	TRUE	0.00333587245298523
CNV_chr7_23998513_24000444	DHA_combined	7	23998513	0.0003256	-0.1064	1480	0.526128688233	2813	NA	NA	NA	5940	577/2524/2839	0.3096	0.7365	-0.006771	<DEL>	1	0.6981	0.998	NA	NA	NA	TRUE	0.00223873881168895
CNV_chr8_129670795_129673294	DHA_combined	8	129670795	0.0008104	-0.7641	20	0.00710984713829	2813	NA	NA	NA	5940	5896/44/0	0.00361	0.4927	-0.1088	<DEL>	0.95	0.0033	0.965	NA	NA	NA	TRUE	0.00352401637226305
CNV_chr3_192643777_192646353	FAw3_combined	3	192643777	0.0004147	-1.127	10	0.00355492356914	2813	NA	NA	NA	5940	5923/17/0	0.00142	0.6721	-0.1122	<DEL>	0.81	0.0017	0.606	NA	NA	NA	TRUE	0.00256012655024833
CNV_chr4_35145131_35150659	FAw3_combined	4	35145131	8.777e-05	-0.2384	282	0.10024884465	2813	NA	NA	NA	5940	5317/605/18	0.0553	0.1489	0.05932	<DEL>	0.97	0.0518	0.993	NA	NA	NA	TRUE	0.000160032873009443
CNV_chr6_97965921_97968363	FAw3_combined	6	97965921	0.0009487	0.6495	26	0.00924280127977	2813	NA	NA	NA	5940	5889/51/0	0.0043	0.8904	0.02097	<DEL>	0.83	0.0038	1	NA	NA	NA	TRUE	0.00682240314599639
CNV_chr12_99883947_99895004	FAw3_combined	12	99883947	0.0005539	-0.792	16	0.00568787771063	2813	NA	NA	NA	5940	5898/42/0	0.00378	0.2525	0.2207	<DUP>	0.59	0.0042	0.936	NA	NA	NA	TRUE	0.00138109690867002
CNV_chr12_99895893_99944521	FAw3_combined	12	99895893	0.0005539	-0.792	16	0.00568787771063	2813	NA	NA	NA	5940	5898/42/0	0.00381	0.2911	0.2028	<DUP>	0.61	0.0042	0.936	NA	NA	NA	TRUE	0.00156928963622146
CNV_chr12_99897093_99924800	FAw3_combined	12	99897093	0.0005539	-0.792	16	0.00568787771063	2813	NA	NA	NA	5940	5898/42/0	0.00381	0.2918	0.2024	<DUP>	0.61	0.0042	0.936	NA	NA	NA	TRUE	0.00157267506715756
CNV_chr12_99898510_99905941	FAw3_combined	12	99898510	0.0005539	-0.792	16	0.00568787771063	2813	NA	NA	NA	5940	5898/42/0	0.0038	0.2923	0.2022	<DUP>	0.61	0.0042	0.936	NA	NA	NA	TRUE	0.001575092662516
CNV_chr12_99926051_99963540	FAw3_combined	12	99926051	0.0005539	-0.792	16	0.00568787771063	2813	NA	NA	NA	5940	5898/42/0	0.00379	0.2941	0.2001	<DUP>	0.62	0.0041	0.936	NA	NA	NA	TRUE	0.00158379208901203
